total,mes,anio
1576156,ene. 2012,2012
2137930,feb. 2012,2012
2122672,mar. 2012,2012
1458683,abr. 2012,2012
1927374,may. 2012,2012
2081540,jun. 2012,2012
1784132,jul. 2012,2012
2014488,ago. 2012,2012
1735976,sep. 2012,2012
1834085,oct. 2012,2012
2549083,nov. 2012,2012
3003460,dic. 2012,2012
1791336,ene. 2013,2013
2174669,feb. 2013,2013
2341426,mar. 2013,2013
1674660,abr. 2013,2013
2210954,may. 2013,2013
2571140,jun. 2013,2013
1853271,jul. 2013,2013
2202970,ago. 2013,2013
2113078,sep. 2013,2013
2269508,oct. 2013,2013
2909226,nov. 2013,2013
3331275,dic. 2013,2013
2292100,ene. 2014,2014
3081231,feb. 2014,2014
3293042,mar. 2014,2014
2269956,abr. 2014,2014
3060267,may. 2014,2014
3270875,jun. 2014,2014
2453790,jul. 2014,2014
3014002,ago. 2014,2014
2682240,sep. 2014,2014
2615913,oct. 2014,2014
3854426,nov. 2014,2014
4741254,dic. 2014,2014
1586553,ene. 2015,2015
2076492,feb. 2015,2015
2004039,mar. 2015,2015
1587102,abr. 2015,2015
2089234,may. 2015,2015
2463063,jun. 2015,2015
1681639,jul. 2015,2015
1850180,ago. 2015,2015
2026004,sep. 2015,2015
2000011,oct. 2015,2015
2845867,nov. 2015,2015
3257200,dic. 2015,2015
2007182,ene. 2016,2016
2467860,feb. 2016,2016
2590173,mar. 2016,2016
1897141,abr. 2016,2016
2606136,may. 2016,2016
3052136,jun. 2016,2016
2234930,jul. 2016,2016
2345073,ago. 2016,2016
2559188,sep. 2016,2016
2674830,oct. 2016,2016
3809736,nov. 2016,2016
4391401,dic. 2016,2016
1856348,ene. 2017,2017
2314433,feb. 2017,2017
2288604,mar. 2017,2017
1749254,abr. 2017,2017
2374745,may. 2017,2017
2647417,jun. 2017,2017
1972061,jul. 2017,2017
2232995,ago. 2017,2017
2396074,sep. 2017,2017
2512786,oct. 2017,2017
3262604,nov. 2017,2017
3613013,dic. 2017,2017
1921718,ene. 2018,2018
2296239,feb. 2018,2018
2553733,mar. 2018,2018
1734514,abr. 2018,2018
2329842,may. 2018,2018
2521663,jun. 2018,2018
1990846,jul. 2018,2018
2137835,ago. 2018,2018
2219677,sep. 2018,2018
2256954,oct. 2018,2018
3128877,nov. 2018,2018
3481388,dic. 2018,2018
1801390,ene. 2019,2019
2312057,feb. 2019,2019
2359796,mar. 2019,2019
1652817,abr. 2019,2019
2088287,may. 2019,2019
2263765,jun. 2019,2019
1762021,jul. 2019,2019
1790805,ago. 2019,2019
1890037,sep. 2019,2019
1969158,oct. 2019,2019
2712490,nov. 2019,2019
2788103,dic. 2019,2019
2155368,ene. 2020,2020
2883984,feb. 2020,2020
2546466,mar. 2020,2020
1851522,abr. 2020,2020
2180274,may. 2020,2020
2608845,jun. 2020,2020
1856252,jul. 2020,2020
1942569,ago. 2020,2020
2029833,sep. 2020,2020
2348025,oct. 2020,2020
3092163,nov. 2020,2020
3418897,dic. 2020,2020
