"","habitantes","ingresos","analfabetismo","esp_vida","asesinatos","universitarios","heladas","area","densidad_pobl"
"New Jersey",7333,5237,1.1,70.93,5.2,52.5,115,7521,975.00332402606
"Washington",3559,4864,0.6,71.72,4.3,63.5,32,66570,53.4625206549497
"Texas",12237,4188,2.2,70.9,12.2,47.4,35,262134,46.6822312252512
"Idaho",813,4119,0.6,71.87,5.3,59.5,126,82677,9.83344823832505
"Rhode Island",931,4558,1.3,71.9,2.4,46.4,127,1049,887.511916110582
"Louisiana",3806,3545,2.8,68.76,13.2,42.2,12,44930,84.7095481860672
"North Dakota",637,5087,0.8,72.78,1.4,50.3,186,69273,9.19550185497957
"Pennsylvania",11860,4449,1,70.43,6.1,50.2,126,44966,263.754836987946
"Georgia",4931,4091,2,68.54,13.9,40.6,60,58073,84.9103714290634
"South Carolina",2816,3635,2.3,67.96,11.6,37.8,65,30225,93.1679073614557
"California",21198,5114,1.1,71.71,10.3,62.6,20,156361,135.570890439432
"Kansas",2280,4669,0.6,72.58,4.5,59.9,114,81787,27.877291012019
"Arizona",2212,4530,1.8,70.55,7.8,58.1,15,113417,19.5032490720086
"New York",18076,4903,1.4,70.55,10.9,52.7,82,47831,377.91390520792
"Florida",8277,4815,1.3,70.66,10.7,52.6,11,54090,153.022739877981
"Michigan",9111,4751,0.9,70.63,11.1,52.8,125,56817,160.356935424257
"Hawaii",868,4963,1.9,73.6,6.2,61.9,0,6425,135.097276264591
"New Mexico",1144,3601,2.2,70.32,9.7,55.2,120,121412,9.42246235956907
"Iowa",2861,4628,0.5,72.56,2.3,59,140,55941,51.14316869559
"Indiana",5313,4458,0.7,70.88,7.1,52.9,122,36097,147.186746821065
"Utah",1203,4022,0.6,72.9,4.5,67.3,137,82096,14.653576300916
"West Virginia",1799,3617,1.4,69.48,6.7,41.6,100,24070,74.740340673037
"North Carolina",5441,3875,1.8,69.21,11.1,38.5,80,48798,111.500471330792
"Virginia",4981,4701,1.4,70.08,9.5,47.8,85,39780,125.213675213675
"Vermont",472,3907,0.6,71.64,5.5,57.1,168,9267,50.9334196611633
"Maine",1058,3694,0.7,70.39,2.7,54.7,161,30920,34.2173350582148
"Mississippi",2341,3098,2.4,68.09,12.5,41,50,47296,49.4967861975643
"Kentucky",3387,3712,1.6,70.1,10.6,38.5,95,39650,85.422446406053
"Missouri",4767,4254,0.8,70.69,9.3,48.8,108,68995,69.0919631857381
"New Hampshire",812,4281,0.7,71.23,3.3,57.6,174,9027,89.9523651268417
"South Dakota",681,4167,0.5,72.08,1.7,53.3,172,75955,8.96583503390165
"Arkansas",2110,3378,1.9,70.66,10.1,39.9,65,51945,40.6198864183271
"Wisconsin",4589,4468,0.7,72.48,3,54.5,149,54464,84.257491186839
"Delaware",579,4809,0.9,70.06,6.2,54.6,103,1982,292.129162462159
"Massachusetts",5814,4755,1.1,71.83,3.3,58.5,103,7826,742.908254536162
